Created as New Dataset;Sample 052 By Administrator Date donderdag, februari 26 2026
cm-1;%T
2921,00;99,07
2920,00;98,90
2919,00;98,88
2918,00;99,03
2917,00;99,13
2916,00;98,91
2915,00;98,88
2914,00;99,23
2913,00;98,96
2912,00;98,82
2911,00;99,05
2910,00;98,90
2909,00;99,14
2908,00;99,09
2907,00;98,88
2906,00;98,88
2905,00;99,10
2904,00;99,02
2903,00;98,95
2902,00;99,02
2901,00;99,03
2900,00;99,11
2899,00;99,07
2898,00;98,89
2897,00;98,87
2896,00;98,94
2895,00;99,08
2894,00;99,13
2893,00;98,80
2892,00;99,02
2891,00;99,14
2890,00;98,89
2889,00;98,89
2888,00;99,05
2887,00;99,01
2886,00;99,13
2885,00;99,05
2884,00;98,95
2883,00;98,94
2882,00;99,27
2881,00;99,01
2880,00;99,02
2879,00;99,08
2878,00;99,06
2877,00;99,00
2876,00;99,28
2875,00;99,29
2874,00;99,01
2873,00;98,89
2872,00;98,81
2871,00;98,94
2870,00;98,87
2869,00;98,90
2868,00;98,95
2867,00;98,91
2866,00;98,97
2865,00;98,95
2864,00;99,08
2863,00;99,01
2862,00;99,21
2861,00;99,05
2860,00;99,14
2859,00;98,97
2858,00;99,24
2857,00;99,00
2856,00;99,14
2855,00;98,95
2854,00;99,00
2853,00;98,91
2852,00;99,02
2851,00;98,96
2850,00;99,04
2849,00;99,08
2848,00;99,00
2847,00;99,16
2846,00;99,00
2845,00;98,88
2844,00;99,13
2843,00;98,99
2842,00;98,95
2841,00;99,04
2840,00;98,92
2839,00;98,86
2838,00;99,06
2837,00;99,06
2836,00;99,26
2835,00;99,09
2834,00;99,12
2833,00;99,15
2832,00;98,91
2831,00;99,03
2830,00;99,00
2829,00;99,02
2828,00;99,02
2827,00;99,16
2826,00;98,88
2825,00;98,93
2824,00;99,03
2823,00;98,94
2822,00;99,10
2821,00;99,05
2820,00;99,05
2819,00;99,11
2818,00;99,08
2817,00;99,04
2816,00;99,05
2815,00;98,99
2814,00;99,02
2813,00;98,93
2812,00;99,12
2811,00;99,16
2810,00;99,11
2809,00;99,02
2808,00;98,92
2807,00;99,12
2806,00;99,17
2805,00;99,06
2804,00;99,04
2803,00;98,98
2802,00;98,92
2801,00;98,99
2800,00;99,05
2799,00;99,07
2798,00;98,95
2797,00;98,83
2796,00;99,15
2795,00;99,02
2794,00;98,94
2793,00;99,00
2792,00;98,94
2791,00;98,92
2790,00;99,02
2789,00;98,98
2788,00;99,05
2787,00;99,09
2786,00;98,96
2785,00;98,97
2784,00;98,94
2783,00;99,03
2782,00;99,13
2781,00;98,80
2780,00;98,91
2779,00;98,98
2778,00;99,08
2777,00;98,91
2776,00;99,10
2775,00;99,22
2774,00;98,96
2773,00;98,91
2772,00;98,89
2771,00;98,84
2770,00;99,05
2769,00;99,09
2768,00;99,03
2767,00;99,00
2766,00;98,93
2765,00;99,12
2764,00;99,08
2763,00;98,95
2762,00;98,93
2761,00;99,04
2760,00;99,02
2759,00;99,06
2758,00;99,14
2757,00;98,94
2756,00;98,96
2755,00;99,19
