Created as New Dataset;Sample 058 By Administrator Date donderdag, februari 26 2026
cm-1;%T
3309,00;12,61
3308,00;34,42
3307,00;58,85
3306,00;80,83
3305,00;98,55
3304,00;112,44
3303,00;121,04
3302,00;125,19
3301,00;123,61
3300,00;117,49
3299,00;106,22
3298,00;90,17
3297,00;72,18
3296,00;49,59
3295,00;24,47
3294,00;-1,00
3293,00;-26,46
3292,00;-50,18
3291,00;-71,35
3290,00;-90,95
3289,00;-107,07
3288,00;-117,22
3287,00;-123,59
3286,00;-124,92
3285,00;-120,53
3284,00;-111,46
3283,00;-98,40
3282,00;-80,38
3281,00;-58,43
3280,00;-35,62
3279,00;-10,98
3278,00;15,45
3277,00;41,67
3276,00;61,63
3275,00;83,43
3274,00;102,33
3273,00;112,49
3272,00;121,36
3271,00;124,98
3270,00;122,72
3269,00;116,07
3268,00;104,55
3267,00;88,04
3266,00;68,26
3265,00;46,03
3264,00;21,46
3263,00;-3,74
3262,00;-29,18
3261,00;-53,84
3260,00;-74,60
3259,00;-93,64
3258,00;-108,88
3257,00;-119,09
3256,00;-123,87
3255,00;-124,34
3254,00;-120,79
3253,00;-110,58
3252,00;-95,72
3251,00;-77,26
3250,00;-55,87
3249,00;-32,12
3248,00;-6,56
3247,00;19,12
3246,00;45,21
3245,00;66,86
3244,00;84,58
3243,00;102,51
3242,00;114,71
3241,00;122,41
3240,00;125,47
3239,00;122,42
3238,00;114,35
3237,00;102,33
3236,00;86,03
3235,00;65,35
3234,00;41,62
3233,00;17,47
3232,00;-7,10
3231,00;-32,98
3230,00;-56,64
3229,00;-77,10
3228,00;-96,42
3227,00;-109,94
3226,00;-119,88
3225,00;-124,41
3224,00;-124,05
3223,00;-118,43
3222,00;-108,38
3221,00;-92,38
3220,00;-73,28
3219,00;-54,25
3218,00;-29,28
3217,00;-3,13
3216,00;21,93
3215,00;48,18
3214,00;68,90
3213,00;87,62
3212,00;104,62
3211,00;116,57
3210,00;124,14
3209,00;125,10
3208,00;121,42
3207,00;112,91
3206,00;100,11
3205,00;83,12
3204,00;62,34
3203,00;39,08
3202,00;14,36
3201,00;-11,33
3200,00;-36,42
3199,00;-60,25
3198,00;-81,79
3197,00;-97,55
3196,00;-111,79
3195,00;-120,57
3194,00;-124,90
3193,00;-123,68
3192,00;-117,33
3191,00;-106,45
3190,00;-90,56
3189,00;-71,56
3188,00;-49,29
3187,00;-24,96
3186,00;1,29
3185,00;25,40
3184,00;48,97
3183,00;71,74
3182,00;90,95
3181,00;106,76
3180,00;117,79
3179,00;124,04
3178,00;125,70
3177,00;120,85
3176,00;111,61
3175,00;98,13
3174,00;80,19
3173,00;59,02
3172,00;35,69
3171,00;10,54
3170,00;-14,96
3169,00;-39,44
3168,00;-62,66
3167,00;-83,30
3166,00;-100,50
3165,00;-113,64
3164,00;-121,70
3163,00;-125,22
3162,00;-123,34
3161,00;-116,37
3160,00;-104,55
3159,00;-88,31
3158,00;-68,44
3157,00;-45,97
3156,00;-21,44
3155,00;3,87
3154,00;29,15
3153,00;53,30
3152,00;75,13
3151,00;93,63
3150,00;108,29
3149,00;118,73
3148,00;124,00
3147,00;124,69
3146,00;119,79
3145,00;109,82
3144,00;95,62
3143,00;77,12
3142,00;56,22
3141,00;32,15
3140,00;7,10
3139,00;-18,52
3138,00;-43,03
3137,00;-65,92
3136,00;-86,07
3135,00;-102,84
3134,00;-115,41
3133,00;-123,37
3132,00;-125,03
3131,00;-122,54
3130,00;-114,64
3129,00;-102,04
3128,00;-85,23
3127,00;-65,00
3126,00;-43,41
3125,00;-18,54
3124,00;8,23
3123,00;34,81
3122,00;54,53
3121,00;76,99
3120,00;96,44
3119,00;111,32
3118,00;119,84
3117,00;124,01
3116,00;124,70
3115,00;118,97
3114,00;108,50
3113,00;93,02
3112,00;74,89
3111,00;52,54
3110,00;28,61
3109,00;3,49
3108,00;-22,40
3107,00;-45,96
3106,00;-68,51
3105,00;-88,34
3104,00;-104,51
3103,00;-116,91
3102,00;-123,26
3101,00;-125,27
3100,00;-121,63
3099,00;-113,88
3098,00;-99,85
3097,00;-81,67
3096,00;-62,56
3095,00;-40,72
3094,00;-14,88
3093,00;10,62
3092,00;35,99
3091,00;59,83
3090,00;80,74
3089,00;98,20
3088,00;111,94
3087,00;120,72
3086,00;124,71
3085,00;123,75
3084,00;117,24
3083,00;106,03
3082,00;90,33
3081,00;71,38
3080,00;48,22
3079,00;25,78
3078,00;-0,08
3077,00;-25,18
3076,00;-49,53
3075,00;-71,74
3074,00;-91,29
3073,00;-106,63
3072,00;-117,45
3071,00;-123,85
3070,00;-124,35
3069,00;-120,41
3068,00;-110,54
3067,00;-98,15
3066,00;-80,50
3065,00;-57,37
3064,00;-37,65
3063,00;-11,45
3062,00;14,50
3061,00;39,56
3060,00;62,68
3059,00;83,02
3058,00;100,40
3057,00;114,49
3056,00;121,83
3055,00;124,83
3054,00;122,90
3053,00;116,10
3052,00;104,30
3051,00;88,17
3050,00;67,76
3049,00;45,53
3048,00;22,57
3047,00;-3,64
3046,00;-29,10
3045,00;-53,11
3044,00;-74,86
3043,00;-93,57
3042,00;-108,56
3041,00;-118,85
3040,00;-124,26
3039,00;-124,47
3038,00;-119,63
3037,00;-109,77
3036,00;-95,08
3035,00;-76,52
3034,00;-56,35
3033,00;-31,03
3032,00;-5,18
3031,00;17,43
3030,00;41,26
3029,00;65,39
3028,00;85,87
3027,00;102,63
3026,00;115,17
